Zone Formatted,Component 1,Component 2,KMeansCluster,GMMCluster,Cluster_Centroid
Alphabet_City,0.147388543235333,0.48000970599313625,Cluster 3,Cluster 3,Not Centroid
Battery_Park,0.00607907716763173,0.5036723222572191,Cluster 3,Cluster 3,Not Centroid
Battery_Park_City,0.283874819114905,0.47049327175806205,Cluster 0,Cluster 0,Centroid
Bloomingdale,0.03442992086716379,0.5001417774246808,Cluster 3,Cluster 3,Not Centroid
Central_Harlem,0.10521266634517601,0.48487016507574654,Cluster 3,Cluster 3,Not Centroid
Central_Harlem_North,0.10111799023757712,0.4899097246205676,Cluster 3,Cluster 3,Not Centroid
Central_Park,0.05479407854231122,0.4981083027167491,Cluster 3,Cluster 3,Not Centroid
Chinatown,0.05214702278868577,0.4974971492343259,Cluster 3,Cluster 3,Not Centroid
Clinton_East,0.4993056229148511,0.3027968696475968,Cluster 4,Cluster 4,Not Centroid
Clinton_West,0.252672067674601,0.4517926420169723,Cluster 0,Cluster 0,Not Centroid
East_Chelsea,0.5932082396567186,0.3019232398812015,Cluster 4,Cluster 4,Not Centroid
East_Harlem_North,0.07016325907382032,0.48896524025954435,Cluster 3,Cluster 3,Not Centroid
East_Harlem_South,0.07710343565483418,0.496502732661366,Cluster 3,Cluster 3,Not Centroid
East_Village,0.7529290591059561,0.0,Cluster 2,Cluster 2,Not Centroid
Financial_District_North,0.3094524546463418,0.5243852860660659,Cluster 0,Cluster 0,Not Centroid
Financial_District_South,0.04078159314670976,0.4896694241028434,Cluster 3,Cluster 3,Not Centroid
Flatiron,0.4540328150061037,0.39482429503034033,Cluster 4,Cluster 4,Not Centroid
Garment_District,0.28129837848183614,0.4487929014342074,Cluster 0,Cluster 0,Not Centroid
Governor's_Island/Ellis_Island/Liberty_Island,0.0020652721273674013,0.5041739435913709,Cluster 3,Cluster 3,Not Centroid
Gramercy,0.499536578557073,0.3479724205940586,Cluster 4,Cluster 4,Centroid
Greenwich_Village_North,0.5193888193061935,0.4367389955833131,Cluster 4,Cluster 4,Not Centroid
Greenwich_Village_South,0.5249552572852665,0.30318285228986164,Cluster 4,Cluster 4,Not Centroid
Hamilton_Heights,0.051192114586756654,0.49808694249872126,Cluster 3,Cluster 3,Not Centroid
Highbridge_Park,0.002507206771807824,0.5041197148667413,Cluster 3,Cluster 3,Not Centroid
Hudson_Sq,0.27177191976954257,0.5176405635334339,Cluster 0,Cluster 0,Not Centroid
Inwood,0.018844870688229043,0.5020621448940458,Cluster 3,Cluster 3,Not Centroid
Inwood_Hill_Park,0.003170730117021514,0.5040381145549686,Cluster 3,Cluster 3,Not Centroid
Kips_Bay,0.20806113723584463,0.472014321916798,Cluster 0,Cluster 0,Not Centroid
Lenox_Hill_East,0.2265272951216139,0.45783758630098575,Cluster 0,Cluster 0,Not Centroid
Lenox_Hill_West,0.3577423070499487,0.40275373507829165,Cluster 0,Cluster 0,Not Centroid
Lincoln_Square_East,0.3774557282177815,0.40078358815230186,Cluster 0,Cluster 0,Not Centroid
Lincoln_Square_West,0.20305641866444024,0.4463964471877506,Cluster 0,Cluster 0,Not Centroid
Little_Italy/NoLiTa,0.5569216032544007,0.46965517748480606,Cluster 4,Cluster 4,Not Centroid
Lower_East_Side,0.5963531311128163,0.017884255233241775,Cluster 2,Cluster 2,Not Centroid
Manhattan_Valley,0.1002408301572904,0.4838801948476022,Cluster 3,Cluster 3,Not Centroid
Manhattanville,0.02746697401545295,0.501030191218264,Cluster 3,Cluster 3,Not Centroid
Marble_Hill,0.006632140664056763,0.5036056513754625,Cluster 3,Cluster 3,Not Centroid
Meatpacking/West_Village_West,0.5746747723116494,0.15617492208693434,Cluster 2,Cluster 2,Not Centroid
Midtown_Center,1.0,1.0,Cluster 5,Cluster 5,Centroid
Midtown_East,0.6910627811540031,0.7303547849863331,Cluster 1,Cluster 1,Not Centroid
Midtown_North,0.6640480844844001,0.6769328506537925,Cluster 1,Cluster 1,Centroid
Midtown_South,0.577198212278791,0.5843618272850388,Cluster 1,Cluster 1,Not Centroid
Morningside_Heights,0.07288039351367268,0.48827267612562875,Cluster 3,Cluster 3,Not Centroid
Murray_Hill,0.5961477415337293,0.5121167744695023,Cluster 1,Cluster 1,Not Centroid
Penn_Station/Madison_Sq_West,0.4018375175516213,0.500372791065861,Cluster 0,Cluster 0,Not Centroid
Randalls_Island,0.0,0.5044277766117292,Cluster 3,Cluster 3,Not Centroid
Roosevelt_Island,0.006588141223189015,0.5036163096397696,Cluster 3,Cluster 3,Not Centroid
Seaport,0.07542527246693939,0.4892793867352756,Cluster 3,Cluster 3,Not Centroid
SoHo,0.4986779547978829,0.5031975087048192,Cluster 4,Cluster 4,Not Centroid
Stuy_Town/Peter_Cooper_Village,0.1288103979321586,0.46224815622583304,Cluster 3,Cluster 0,Not Centroid
Sutton_Place/Turtle_Bay_North,0.32201452748226717,0.4519545422020576,Cluster 0,Cluster 0,Not Centroid
Times_Sq/Theatre_District,0.6894408944141042,0.6710480892502856,Cluster 1,Cluster 1,Not Centroid
TriBeCa/Civic_Center,0.7712314779642508,0.49354029138466693,Cluster 1,Cluster 1,Not Centroid
Two_Bridges/Seward_Park,0.11538401173986945,0.4821826674640387,Cluster 3,Cluster 3,Not Centroid
UN/Turtle_Bay_South,0.26848356998623685,0.4574080583167551,Cluster 0,Cluster 0,Not Centroid
Union_Sq,0.8128936814554372,0.7065361519728772,Cluster 1,Cluster 1,Not Centroid
Upper_East_Side_North,0.3958013698765429,0.5355141566667782,Cluster 0,Cluster 0,Not Centroid
Upper_East_Side_South,0.5124138065577629,0.6672048255330811,Cluster 1,Cluster 1,Not Centroid
Upper_West_Side_North,0.23515273492912597,0.44726469691378123,Cluster 0,Cluster 0,Not Centroid
Upper_West_Side_South,0.31902843580655743,0.43932235554627186,Cluster 0,Cluster 0,Not Centroid
Washington_Heights_North,0.053736940134594735,0.49776871393192074,Cluster 3,Cluster 3,Centroid
Washington_Heights_South,0.07512657448875451,0.49510739382477537,Cluster 3,Cluster 3,Not Centroid
West_Chelsea/Hudson_Yards,0.5862915190533946,0.602942332431431,Cluster 1,Cluster 1,Not Centroid
West_Village,0.6065234257216623,0.03895721072863445,Cluster 2,Cluster 2,Centroid
World_Trade_Center,0.06897350924909992,0.4865295104497601,Cluster 3,Cluster 3,Not Centroid
Yorkville_East,0.1917830523572196,0.4512434255957881,Cluster 0,Cluster 0,Not Centroid
Yorkville_West,0.23677248107486598,0.4456809997146652,Cluster 0,Cluster 0,Not Centroid
